left,top,width,height,conf,text,page
918.75,114.75,72.25,38.75,45.75,Iww _ — (atromepe,1
1466.44,902.89,337.0,75.89,62.89,MIIZCCARRA ÚIN]GIF%¿E& IP.RIPERMNIITII]R U¡E SENTENCIADOS | POSTULENACARGOS (BIEDICIONIESPECIAL IPUUIUHC.S,1
972.0,2236.5,501.33,109.0,48.83,"I '…N ea ENIDONMINCO ©%©S©UE FUER0NAIMERCAos,¡mmo5msvmwmLAEW¿A¡_",1
1055.56,2479.25,103.94,54.19,55.88,<a¿ll“l “Qríí]| 2_ C_] |Cl I]WJI]I] EOSIDE I;HI*ID*I ]j* _ — 'i ¡¡X E l ¡xk',1
318.25,252.0,106.5,22.0,81.75,&FUE TENDENCIA EN REDES,10
391.25,297.5,89.25,50.0,90.25,pse de Luna se,10
285.44,719.18,55.26,24.15,88.9,"Expectativa causó en G» | país el eclipse penumbral de Luna que ini— dió a las 10 de la noche del sábado y duró casi hasta la madrugada de ayer. Fue visible en zonas con cielo despejado y muchos,",10
181.57,1077.43,152.57,40.29,90.43,"a mercados, panaderías, peluquerías y centros comerciales",10
626.67,586.98,62.9,24.26,88.79,"con y sin telescopio, se ani— maron a seguirlo y registrar fotos y videos, convirtiendo el hecho en tendencia en las redes sociales. Ocurre cuando la Luna atraviesa solo la región exte— rior de la sombra proyectada de da penumbra. (IMM) [<]",10
577.2,1483.2,521.2,133.2,73.2,Milesipascaron y compraron en comin,10
1487.6,315.2,55.3,26.4,53.7,"Estar la no celentica, pero los rifles y ei a",10
1451.25,519.0,40.25,23.5,30.0,a elt i on,10
1491.83,1124.0,136.17,39.67,89.67,respetó distancia pero niños también salieron,10
967.91,1809.43,72.74,27.0,85.35,"hubo tráfico. La Sur, Vía de Avistamiento y otras arterias tuvieron tránsito fluido. <Las estaciones del Metro de Lima y del Metropolitano tuvieron",10
977.64,1920.0,83.86,25.64,84.14,"Algunos salieron a parques, incluso para armar su 'picnic” <Las iglesias permanecieron cerradas. .",10
585.5,2066.0,210.0,65.0,63.75,Chequee manada deja seís,10
245.2,2195.6,30.6,28.8,45.8,© s 2 ser e,10
1090.6,2490.0,70.0,24.8,32.4,rt a st ep a,10
1544.14,2101.14,151.0,60.0,75.29,Salvan a familia de incendio en platería,10
1402.0,2476.0,60.25,23.5,90.0,salir a los ocupantes.,10
1575.59,2534.77,63.68,24.86,90.23,"El fuego destruyó el local y la casa del due— ño del negocio, ubicada al costado. Un cortocircuito habría provocado el siniestro.",10
