left,top,width,height,conf,text,page
564.75,118.25,125.5,30.0,76.25,www.trome.pe Whatsapp 951— 665—767,1
973.5,158.5,181.25,87.5,51.0,| …/5 MW… %…,1
1184.45,331.91,71.09,36.27,44.27,í|(o) 07 a = l MAMITAS! ea Ru. fa AEREA S/,1
1222.91,1382.73,97.0,102.45,78.0,"WÁMI""EN ENGRIO' E a Páginas 13, 14 y 15 © UN",1
1024.4,1966.0,726.0,245.2,33.0,AI CONMIGO SON COMO MIS,1
2250.58,769.33,101.92,35.42,84.17,"RA PATRICIA GARCÍA PIDE NO LA GUARDIA, PORQUERÍAS OLAS” PUEDEN SER PEORES",1
2213.5,1849.75,160.5,35.75,73.5,NEUMONÍA AGLORIADEL ] PERUANO,1
2145.62,342.62,206.75,44.0,54.88,"&SENALDEJESPERANZA, u ra '* MEDIO VENCIÓ /ALKI]IRUS Solomene¿ano¡y|med¡o(de",10
1360.8,663.8,146.0,42.2,50.4,©NÍÍÍM ERÚ:fuerdado tdetaltaywvolvióicon:su E,10
1452.36,822.0,124.18,39.64,58.73,|BE: (52t3£¡&3:¡1333gs¿un|luéhador IFINUUEGIBIIS £pues¡padecge n y e IPORQUE ineficiencia Su trata—,10
994.6,924.0,90.0,47.2,66.0,PAN BEM |A mj_i'eritoxd yr'ó'(oc_hq,10
1695.4,1000.4,170.4,45.8,44.4,"(días, (entlas'cuales. p IMII.(8]¿4¡ Lg;?£%5'onaleswella",10
2192.43,1146.43,153.14,33.43,67.71,”Penséque:milhijo [[que…es!beneflc¡ano(del$5l$] es la res¡stur [peroíl3¡os(es(grande (el(es.,10
961.74,2436.21,209.53,47.19,52.53,"©wawRRA l¡Mumsteno'dh'$alud 88W'(Gambsexsabe_gel'ilístadade, As i walhan¡s¡do'dadas'de_&'lt& (emergenc13€en[el&)als<se;amp'll© |HABI_D CDN| llam1frad contagiados aníÍ0ta'lsat0mamnpmebas'úmo— TRUMP UI EN poncamnawms;reg¡s' a¿194innllt250) ECONBICICUETAS? _© e ie e i jp'ersanasú[oe_eseftata'l4129¡m¡|l$9.35 u¡part¿elimlmstmdeil£du— IBE¡¿1 ACB [A (d1er0mnega“1voi[osihosplta'llm— (cacmn;¡MartnlniBenawdesúhabl© (dms_san'&m111220¿/z48k5aencuen; obrellasalid: ilasca'lle'sijr WALENTIAIBEL Aklmlsmoilo&fallecldos ¡m'e'ídiaih'0m!olú1( ndranílasjm, Z m1ca)))wloscasas'confnmladaspar' e ee it",10
770.0,2581.8,259.4,42.2,50.6,l mil |RUEBLD'RERUANÚ g%2ng&%%%%%$ñgzrf%pemonas ¡parfados'de¿un*adtílto*a&pawr—,10
468.2,314.4,232.0,60.0,74.6,atu mamita contagiarse de coronavirus,11
480.8,438.8,81.6,38.8,84.6,Un de la Madre' diferente y la recomendación es que,11
477.33,484.67,95.83,31.5,88.5,"para saludarla mejor utilices una llamada,",11
435.53,1003.47,68.18,27.29,67.56,"videollamada o mensaje. El saludo virtually n e ea mmmm pua es e e no se habrá contagio. Evitar visitarla y trata de utilizar i Puedes conectarte utilizando Facebook, ee e entre otros. ¿Por qué arriesgamos?",11
498.55,1848.09,82.55,33.91,64.73,"La Incertida=bre — Luego cada estomudo, tosy — La visita, símplemente,",11
507.71,1897.71,66.1,34.95,83.38,"hará que el día en sí dolor experimentado por — novaleelriesgo, por cualquiera provocarán pequeño que sea, de pánico y arrepentiiento.",11
555.5,2105.0,134.25,29.5,77.5,"ministro Jorge Montenegro (Agricultura),",11
623.83,2140.0,103.5,26.0,88.0,"contagiado con Covid—19, escribió en Twitter:",11
542.0,2205.43,73.81,26.1,91.29,”Me siento bien y seguiré recuperándome para volver con fuerza a seguir sirviendo a mi país. ¡Este virus no nos vencerá!”.,11
1364.33,160.5,89.33,23.5,90.0,DOMINGO 10 DE MAYO DEL 2020,11
1240.38,853.38,56.77,26.77,88.31,G$ Para frenar la expansión de con— aliados y muertos en el país,11
1292.09,940.96,64.87,24.91,81.43,"a consecuencia de la pandemía, el MINISTRO Gobierno está evaluando nuevas estra— — tenias de combate y entre ellas no se E (",11
1316.99,1245.52,72.29,24.18,90.37,"descarta 'cerrar' algunos distritos o centros poblados. ”Estamos interviniendo los mercados, porque los alrededores son las zonas donde hay más contagios. Estamos viendo y estudiando si se puede cerrar algu— nos distritos, manzanas o centros poblados”, reveló el ministro de Defensa, Walter Martos. Al respecto, indicó que aplicar esta medida 'es com— plejo, porque hay varias personas que no trabajan en el distrito donde viven. ”Lo mejor será localizarte en algunas manzanas o centros poblados. Eso se está analizando”, precisó. Finalmente, dijo: ”Debemos adquirir la costumbre de convivir con el coronavirus, pues se estima que la cura llegará entre un año y medio a dos. La población debe tomar las precauciones sanitarias, sobre todo al",11
1947.75,258.0,124.25,23.0,81.25,HASTA QUE APAREZCA VACUNA,11
1970.0,325.57,133.71,39.57,90.71,ADIÓS A BESOS Y APRETÓN DE MANOS,11
2142.34,626.74,71.48,24.52,87.77,"G$ La Organización Mundial de la Salud (OMS) seña— la que la sociedad tendrá que acostumbrarse a muchos cambios [al menos hasta que se encuentre una vacuna o un tratamiento efecti— vo contra el Covid—19), como decirle adiós a los besos y a los apretones de Mike Ryan, director ejecutivo de la OMS para Emergencias Humanitarias, reconoció que muchos pueden actual— mente echar de menos esos gestos; sin embargo, hay que seguir siendo cautelosos' conociendo el potencial de contagio del coronavirus. [<]",11
1964.0,1034.71,164.0,39.43,87.14,NO PODRÁN CORTAR EL TELEFONO POR DEUDA,11
2005.11,1323.07,71.79,24.57,87.9,"G$ Mediante su cuenta de Twitter, el Organismo Supervisor de Inversión Privada en Telecomuvacaciones (Osipte!) informó que los servicios de telecomu— vacaciones [teléfono y otros) no podrán ser suspendidos o cortados por falta de pago ante la ampliación de la cuarente— na hasta el domingo 24 de mayo. Osiptel también indicó que los usua— ríos que tienen recibos vencidos desde el mes de marzo o consumo realizados durante el período de confi—",11
